Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Connor Brown,Ottawa,RW,57,12,29,41,11,6,0,0,0,0,0,0,2,0,0,0,114,10.5,5,11,25,0,18,3,0,0,0,0,0,0,13:48,0:00,0:00,62,51,5,7.30,
John Klingberg,Florida,RD/LD,74,12,29,41,21,10,1,9,10,0,0,0,4,0,2,0,180,6.7,17,39,159,0,137,5,0,0,0,0,0,0,22:31,1:59,1:02,106,85,2,7.72,
Lukas Cormier,Detroit,LD,82,9,32,41,-21,18,2,4,6,0,0,0,0,0,1,0,116,7.8,9,22,24,0,96,9,0,0,0,0,0,0,18:50,0:49,0:35,96,117,1,7.23,
Michael Matheson,Florida,LD,82,7,34,41,36,20,1,10,11,0,0,0,1,0,2,0,164,4.3,20,41,286,0,130,10,0,0,0,0,0,0,22:08,2:01,0:59,108,72,0,7.72,
Sami Niku,Winnipeg,LD/RD,79,7,34,41,15,28,0,4,4,0,0,0,1,0,0,0,91,7.7,12,28,65,0,115,9,2,0,0,0,2,0,18:34,0:19,0:13,98,83,2,7.03,
Adam Fox,NY Rangers,RD/LD,82,3,38,41,13,26,2,10,12,0,0,0,0,0,0,0,131,2.3,48,29,58,0,109,13,0,0,0,0,0,0,19:54,1:38,0:40,104,91,0,7.18,
Alexander Barabanov,Winnipeg,RW,68,25,15,40,4,10,2,1,3,0,0,0,0,0,3,0,188,13.3,32,12,9,0,28,5,0,0,0,0,0,0,14:37,0:43,0:03,58,54,1,7.12,
Tomás Tatár,Vancouver,LW/RW,82,20,20,40,-24,18,4,1,5,0,0,0,1,0,1,0,180,11.1,15,15,14,0,45,9,0,0,0,0,0,0,14:43,0:30,0:00,58,82,0,7.06,
Jan Åkerlund,Edmonton,LW/RW,55,19,21,40,-25,2,0,0,0,0,0,0,1,2,3,0,155,12.3,19,20,172,0.00,36,1,0,0,0,0,0,0,16:02,0:00,0:58,49,74,0,6.89,
Artturi Lehkonen,Winnipeg,LW/RW,82,16,24,40,-26,9,3,2,5,0,0,0,4,0,2,0,174,9.2,19,19,13,0.10,22,2,1,0,0,0,0,0,14:18,0:49,0:00,53,79,3,6.68,
