Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Zach Solow,Utica,C,5,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,5,20.0,0,1,0,0,0,0,0,0,0,0,0,0,11:48,0:00,0:00,4,0,0,7.80,
Graham Lillibridge,Rochester,LD/RD,8,1,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,13,7.7,1,2,6,0,4,0,0,0,0,0,0,0,14:33,0:25,0:00,6,7,0,7.13,
Daniel Baker,Chicago,LD,8,1,3,4,-2,6,0,1,1,0,0,0,0,0,0,0,8,12.5,2,3,1,0,8,3,0,0,0,0,0,0,17:04,0:44,1:35,8,10,0,6.63,
Ty Dellandrea,Texas,C,11,0,4,4,-9,6,0,0,0,0,0,0,0,0,0,0,8,0.0,3,1,22,0.54,14,3,0,0,0,0,0,0,12:23,0:00,0:00,4,13,0,6.09,
Renars Krastenbergs,Colorado,LW/RW,14,3,0,3,-2,4,0,0,0,0,0,0,0,0,0,0,24,12.5,3,1,0,0,6,2,0,0,0,0,0,0,13:38,0:51,0:00,7,9,0,6.71,
Jayden Grubbe,Toronto,RW,13,2,1,3,-10,0,0,0,0,0,0,0,0,0,0,0,24,8.3,14,2,0,0,2,0,0,0,0,0,0,0,13:18,0:00,0:00,4,14,0,6.62,
Hendrix Lapierre,Providence,C,3,1,2,3,4,0,0,0,0,0,0,0,1,0,0,0,1,100.0,0,0,0,0.51,0,0,0,0,0,0,0,0,13:24,0:00,0:00,4,0,0,7.33,
Cale Fleury,San Diego,RD,7,1,2,3,12,2,0,0,0,0,0,0,0,0,0,0,12,8.3,1,1,10,0,19,1,0,0,0,0,0,0,19:08,0:55,0:49,13,1,0,7.57,
Nicolas Beaudin,Rockford,LD/RD,11,1,2,3,3,4,0,0,0,0,0,0,0,0,0,0,13,7.7,6,4,3,0,12,2,0,0,0,0,0,0,17:25,0:00,0:06,18,15,0,7.00,
Jamie Drysdale,Pittsburgh,RD/LD,8,1,2,3,-3,4,0,0,0,0,0,0,0,0,0,0,11,9.1,6,4,2,0,17,2,0,0,0,0,0,0,18:06,0:11,0:00,8,11,0,7.13,
Lars Eller,Washington,C,12,1,2,3,-4,4,0,0,0,0,0,0,0,0,0,0,19,5.3,5,0,1,0.51,4,2,0,0,0,0,0,0,13:55,0:00,0:00,7,11,0,6.00,
Billy Jenkins,Los Angeles,LW,16,1,2,3,-17,6,0,0,0,0,0,0,0,0,0,0,18,5.6,0,3,2,0,5,3,0,0,0,0,0,0,12:41,0:00,0:00,3,20,0,6.06,
Nick Cousins,South Carolina,C/RW/LW,12,1,2,3,-19,18,0,0,0,0,0,0,0,0,0,0,17,5.9,0,3,3,0.41,12,4,0,1,0,0,0,0,14:05,0:00,0:00,2,21,0,6.00,
Théo Rochette,Rockford,C,8,0,3,3,-2,2,0,0,0,0,0,0,0,0,0,0,9,0.0,0,1,0,0.44,3,1,0,0,0,0,0,0,14:00,0:00,0:00,5,7,0,6.00,
Oskari Laaksonen,Rochester,RD,13,0,3,3,-5,2,0,1,1,0,0,0,0,0,0,0,14,0.0,5,0,5,0,11,1,0,0,0,0,0,0,14:46,0:23,0:04,10,15,0,7.00,
Nick Holden,Wilkes-Barre/Scranton,LD/RD,21,0,3,3,-9,8,0,0,0,0,0,0,0,0,0,0,14,0.0,13,8,24,0,44,4,0,0,0,0,0,0,16:54,0:00,1:26,14,23,0,6.67,
Bobby Nardella,Washington,LD/RD,15,0,3,3,-11,14,0,0,0,0,0,0,0,0,0,0,14,0.0,7,3,6,0,18,7,0,0,0,0,0,0,20:20,0:08,1:15,16,27,0,6.27,
Alex Petrovic,Calgary,RD/LD,26,0,3,3,-33,16,0,0,0,0,0,0,0,0,0,0,10,0.0,35,17,16,0,48,8,0,0,0,0,0,0,16:06,0:02,2:34,11,44,0,6.15,
